time,uptime,CPU1,CPU2,CPU3,CPU4,RAM,SWAP,EMC,IRAM,GPU,APE,APE_MASTER,NVDEC,NVENC,NVJPG,SE,VIC03,Fan tegra_pwmfan0,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,Power thermal,Power TOT,jetson_clocks,nvp model,rail,tot
2024-06-12 15:31:40.973187,3:17:00.520000,100,OFF,OFF,OFF,0.4083283222793927,0.08512886536489998,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,42.0,38.5,38.0,40.25,39,2510,OFF,CPU1GPU1,"{'POM_5V_CPU': {'volt': 4904, 'curr': 128, 'power': 627, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 646}, 'POM_5V_GPU': {'volt': 4904, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 51}}","{'volt': 4904, 'curr': 512, 'power': 2510, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2543, 'name': 'POM_5V_IN'}"
2024-06-12 15:31:41.273490,3:17:01.020000,100,OFF,OFF,OFF,0.40832437268022764,0.08512886536489998,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,42.0,38.5,38.0,40.25,117,2707,OFF,CPU1GPU1,"{'POM_5V_CPU': {'volt': 4904, 'curr': 160, 'power': 784, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 715}, 'POM_5V_GPU': {'volt': 4904, 'curr': 24, 'power': 117, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 84}}","{'volt': 4904, 'curr': 552, 'power': 2707, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2625, 'name': 'POM_5V_IN'}"
2024-06-12 15:31:41.786188,3:17:01.520000,100,OFF,OFF,OFF,0.40832634747981017,0.08512886536489998,0,0.0,84.7,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,42.5,38.0,38.0,40.25,117,2820,OFF,CPU1GPU1,"{'POM_5V_CPU': {'volt': 4904, 'curr': 160, 'power': 784, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 749}, 'POM_5V_GPU': {'volt': 4904, 'curr': 24, 'power': 117, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 100}}","{'volt': 4896, 'curr': 584, 'power': 2820, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2722, 'name': 'POM_5V_IN'}"
2024-06-12 15:31:42.277651,3:17:02.020000,100,OFF,OFF,OFF,0.40967513559467633,0.08512886536489998,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,42.5,38.0,37.5,40.25,39,2667,OFF,CPU1GPU1,"{'POM_5V_CPU': {'volt': 4904, 'curr': 168, 'power': 823, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 786}, 'POM_5V_GPU': {'volt': 4904, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 69}}","{'volt': 4904, 'curr': 544, 'power': 2667, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2694, 'name': 'POM_5V_IN'}"
2024-06-12 15:31:42.768614,3:17:02.520000,100,OFF,OFF,OFF,0.4131646064570022,0.08512886536489998,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,42.5,38.0,38.0,40.25,39,2707,OFF,CPU1GPU1,"{'POM_5V_CPU': {'volt': 4904, 'curr': 176, 'power': 863, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 824}, 'POM_5V_GPU': {'volt': 4904, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 54}}","{'volt': 4904, 'curr': 552, 'power': 2707, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2700, 'name': 'POM_5V_IN'}"
2024-06-12 15:31:43.288023,3:17:03.030000,100,OFF,OFF,OFF,0.4155521391522778,0.08512886536489998,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,42.5,38.5,38.0,40.25,78,2707,OFF,CPU1GPU1,"{'POM_5V_CPU': {'volt': 4904, 'curr': 168, 'power': 823, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 823}, 'POM_5V_GPU': {'volt': 4904, 'curr': 16, 'power': 78, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 66}}","{'volt': 4904, 'curr': 552, 'power': 2707, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2703, 'name': 'POM_5V_IN'}"
2024-06-12 15:31:43.772690,3:17:03.530000,100,OFF,OFF,OFF,0.41654743814187156,0.08512886536489998,0,0.0,3.5,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,42.0,38.0,38.0,40.25,39,2554,OFF,CPU1GPU1,"{'POM_5V_CPU': {'volt': 4904, 'curr': 152, 'power': 745, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 784}, 'POM_5V_GPU': {'volt': 4904, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 52}}","{'volt': 4912, 'curr': 520, 'power': 2554, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2628, 'name': 'POM_5V_IN'}"
2024-06-12 15:31:44.272626,3:17:04.030000,100,OFF,OFF,OFF,0.4172060338026444,0.08512886536489998,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,42.5,38.0,38.0,40.25,39,2593,OFF,CPU1GPU1,"{'POM_5V_CPU': {'volt': 4904, 'curr': 152, 'power': 745, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 764}, 'POM_5V_GPU': {'volt': 4904, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 45}}","{'volt': 4912, 'curr': 528, 'power': 2593, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2610, 'name': 'POM_5V_IN'}"
2024-06-12 15:31:44.769251,3:17:04.530000,100,OFF,OFF,OFF,0.41732847137676116,0.08512886536489998,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,42.0,38.5,38.0,40.25,39,2593,OFF,CPU1GPU1,"{'POM_5V_CPU': {'volt': 4904, 'curr': 152, 'power': 745, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 754}, 'POM_5V_GPU': {'volt': 4904, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 42}}","{'volt': 4912, 'curr': 528, 'power': 2593, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2601, 'name': 'POM_5V_IN'}"
2024-06-12 15:31:45.292214,3:17:05.030000,100,OFF,OFF,OFF,0.41748053094461574,0.08512886536489998,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,42.5,38.5,38.0,40.75,39,2785,OFF,CPU1GPU1,"{'POM_5V_CPU': {'volt': 4896, 'curr': 208, 'power': 1018, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 886}, 'POM_5V_GPU': {'volt': 4896, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 40}}","{'volt': 4904, 'curr': 568, 'power': 2785, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2693, 'name': 'POM_5V_IN'}"
2024-06-12 15:31:45.768078,3:17:05.530000,100,OFF,OFF,OFF,0.41990657223175065,0.08512886536489998,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,43.0,38.5,37.5,40.75,39,2785,OFF,CPU1GPU1,"{'POM_5V_CPU': {'volt': 4896, 'curr': 208, 'power': 1018, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 952}, 'POM_5V_GPU': {'volt': 4904, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4904, 'curr': 568, 'power': 2785, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2739, 'name': 'POM_5V_IN'}"
2024-06-12 15:31:46.268444,3:17:06.030000,100,OFF,OFF,OFF,0.4224086433028128,0.08512886536489998,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,42.5,38.5,38.0,40.75,39,2785,OFF,CPU1GPU1,"{'POM_5V_CPU': {'volt': 4896, 'curr': 208, 'power': 979, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 965}, 'POM_5V_GPU': {'volt': 4904, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4904, 'curr': 568, 'power': 2785, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2762, 'name': 'POM_5V_IN'}"
2024-06-12 15:31:46.772107,3:17:06.530000,100,OFF,OFF,OFF,0.4250104417527926,0.08512886536489998,0,0.0,6.8,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,42.5,38.5,38.0,40.75,39,2785,OFF,CPU1GPU1,"{'POM_5V_CPU': {'volt': 4896, 'curr': 200, 'power': 979, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 972}, 'POM_5V_GPU': {'volt': 4904, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4904, 'curr': 568, 'power': 2785, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2773, 'name': 'POM_5V_IN'}"
2024-06-12 15:31:47.269013,3:17:07.030000,100,OFF,OFF,OFF,0.4275164624230198,0.08512886536489998,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,42.5,38.0,38.0,40.25,39,2785,OFF,CPU1GPU1,"{'POM_5V_CPU': {'volt': 4896, 'curr': 208, 'power': 1018, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 995}, 'POM_5V_GPU': {'volt': 4896, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4904, 'curr': 568, 'power': 2785, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2779, 'name': 'POM_5V_IN'}"
2024-06-12 15:31:47.771986,3:17:07.530000,100,OFF,OFF,OFF,0.43002643269241214,0.08512886536489998,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,42.5,38.5,37.5,40.25,39,2785,OFF,CPU1GPU1,"{'POM_5V_CPU': {'volt': 4896, 'curr': 208, 'power': 1018, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1006}, 'POM_5V_GPU': {'volt': 4904, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4904, 'curr': 568, 'power': 2785, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2782, 'name': 'POM_5V_IN'}"
2024-06-12 15:31:48.272616,3:17:08.030000,100,OFF,OFF,OFF,0.4326242815432269,0.08512886536489998,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,43.0,38.0,38.0,40.25,39,2785,OFF,CPU1GPU1,"{'POM_5V_CPU': {'volt': 4896, 'curr': 208, 'power': 1018, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1012}, 'POM_5V_GPU': {'volt': 4904, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4904, 'curr': 568, 'power': 2785, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2783, 'name': 'POM_5V_IN'}"
2024-06-12 15:31:48.761142,3:17:08.530000,100,OFF,OFF,OFF,0.43683652905275777,0.08512886536489998,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,43.0,38.5,38.0,40.5,39,2707,OFF,CPU1GPU1,"{'POM_5V_CPU': {'volt': 4904, 'curr': 176, 'power': 863, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 937}, 'POM_5V_GPU': {'volt': 4904, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4904, 'curr': 552, 'power': 2707, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2745, 'name': 'POM_5V_IN'}"
2024-06-12 15:31:49.220501,3:17:09.030000,100,OFF,OFF,OFF,0.43970986244533505,0.08512886536489998,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,42.5,38.0,38.0,40.5,39,2628,OFF,CPU1GPU1,"{'POM_5V_CPU': {'volt': 4896, 'curr': 160, 'power': 783, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 860}, 'POM_5V_GPU': {'volt': 4896, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4904, 'curr': 536, 'power': 2628, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2686, 'name': 'POM_5V_IN'}"
